Experience,Salary
18,98528.54
13,76438.01
20,109174.37
14,80363.27
2,33098.32
4,41063.67
20,102196.22
17,93232.76
13,81190.28
15,86334.9
13,77093.19
8,56514.7
14,81992.6
6,51249.3
13,78827.72
5,44004.41
20,105974.34
14,82439.82
19,97978.42
7,53504.69
1,22516.09
7,54447.6
0,26981.03
16,91242.64
18,95814.86
4,41927.14
19,105271.86
15,89241.31
6,48912.48
6,49417.96
17,96332.73
17,88497.59
1,28030.77
14,85006.71
13,79925.6
17,94107.79
8,52482.5
13,76850.27
4,39230.25
10,65993.12
7,50571.96
4,37922.83
10,58805.4
4,44665.41
16,87800.69
3,37471.44
14,80993.29
18,93797.7
1,25222.81
16,85984.05
11,66830.49
16,90099.82
9,58612.85
17,98239.47
18,100081.45
17,95425.08
12,72641.02
13,81542.84
15,84345.98
17,92906.22
17,93509.92
15,87105.47
16,90910.72
6,47574.62
11,67401.02
1,30919.71
9,63145.71
4,39819.95
20,100238.44
2,32378.05
18,98870.58
12,78416.25
11,65406.13
2,31720.29
5,43831.79
13,81067.42
3,36895.18
12,70278.02
18,98676.09
17,91786.08
2,29326.84
19,98321.68
5,50202.13
15,86152.63
19,101323.28
2,32250.32
11,69876.45
18,97840.71
18,97876.51
3,37344.54
0,27606.4
1,29069.31
12,70066.18
12,71162.73
1,23062.94
18,103080.45
15,87588.26
11,66509.79
0,24154.47
8,55089.37
16,93627.64
9,56740.37
17,93343.43
18,96674.42
6,51480.52
18,96687.97
14,75725.37
8,56246.65
9,58083.51
19,101238.74
19,105302.53
3,31781.72
5,42599.33
3,35341.92
4,39855.11
8,59220.38
11,68479.37
7,54247.41
20,103122.68
4,41689.77
10,67333.39
10,62803.1
12,75344.07
13,77157.12
7,56136.38
17,92395.74
18,98143.73
11,68878.18
11,68711.36
17,93776.79
9,62610.42
6,45251.31
17,97300.9
11,63421.01
13,74945.56
14,80717.19
15,86237.07
1,33728.52
17,87425.13
11,67476.92
15,78619.5
12,73094.87
19,101815.05
16,93772.39
17,93361.9
2,36132.08
9,62751.51
0,23694.26
5,40773.12
2,33825.01
18,92523.69
3,40885.62
19,100513.81
2,36585.53
7,51559.36
7,53806.55
6,49628.05
1,28864.87
20,103702.02
5,46177.37
15,82221.51
9,57371.69
3,40728.48
12,75181.5
9,61197.67
20,109995.43
13,76196.7
8,60968.11
10,65526.72
17,89925.75
10,70544.12
16,91972.13
1,28636.94
2,35181.51
10,63788.89
17,95487.45
2,25826.76
14,77940.6
10,67937.78
10,64251.03
19,101622.63
10,60959.64
18,102543.6
0,28571.59
4,40397.94
9,59785.91
9,64088.81
13,82947.41
1,31861.28
3,43515.41
1,26232.95
17,90541.84
12,69433.18
18,98325.28
4,41526.81
19,100544.15
1,31427.78
10,68696.99
17,88423.01
5,43209.08
9,63460.43
16,87596.78
10,62605.38
18,100055.61
16,85131.5
3,36095.26
13,77985.93
19,99278.54
3,39349.47
13,75293.37
3,41225.86
5,44622.76
8,59013.81
20,107238.07
11,67117.38
7,46839.54
3,38082.27
4,41216.87
5,46667.48
4,40320.42
18,95708.72
7,59025.42
8,52582.94
14,83201.85
3,35276.19
8,55992.66
6,48048.69
7,50589.7
14,82713.67
18,101171.93
14,82410.04
4,41310.15
18,94040.68
6,50550.48
5,51469.05
18,95857.92
16,87872.05
9,59316.73
18,95531.76
10,56764.1
14,82215.11
9,58463.34
10,60169.21
2,35259.57
2,29753.95
17,91983.99
10,69399.33
19,96772.35
17,88402.21
14,81807.92
6,52448.46
9,56276.97
20,106223.07
19,102743.0
9,54822.52
12,75395.5
14,83629.82
17,92064.64
3,40757.04
19,104409.37
16,89309.35
2,31645.66
20,102081.52
20,104887.31
1,30709.28
3,36027.47
0,18407.5
14,84806.14
0,25570.67
5,43861.13
6,51571.48
18,101573.92
11,60594.27
0,26302.79
6,44720.05
18,98497.33
12,73383.78
11,70907.18
11,67502.26
12,67380.28
13,75648.9
11,70220.54
19,104046.18
11,65484.51
5,48081.18
9,59056.38
19,102087.35
8,55470.32
1,29546.51
6,51675.63
8,53318.96
11,66960.28
4,41554.89
0,32204.75
14,78410.43
7,59120.4
0,31013.27
17,92708.07
12,72105.54
0,22923.8
4,40795.39
17,88779.84
15,84771.28
9,65490.64
3,35166.74
0,24277.83
7,47896.58
4,42122.19
1,29793.45
16,89191.11
6,48349.52
16,88121.73
5,46505.7
14,80913.55
4,41944.92
14,81644.95
17,96370.28
17,95030.98
20,105578.59
20,109555.27
5,46260.81
1,32914.89
16,90820.83
20,99474.24
3,40914.5
11,69405.53
18,96844.14
1,29844.05
1,27965.05
13,77681.09
14,79224.37
19,104822.82
1,28659.24
3,35852.25
18,94225.22
8,57806.33
6,49561.32
12,74165.27
11,65918.24
2,28196.46
12,74876.77
14,85453.93
13,73920.94
8,61768.32
12,73851.73
3,36978.81
20,103807.35
7,48846.45
2,35963.19
1,26673.18
18,94660.58
7,55975.78
16,83351.05
12,68429.21
6,48945.6
8,57879.85
11,70454.2
13,76094.6
13,84591.11
14,80316.32
2,32307.64
14,78609.04
18,97371.72
19,102844.88
13,80610.73
7,48532.15
4,40262.01
18,98340.11
3,38761.17
13,77019.65
15,86627.27
19,98573.11
5,49673.72
5,47977.88
2,28965.22
14,77774.69
2,29859.23
10,67033.91
2,29145.82
9,60006.93
17,94364.11
0,24801.5
15,85776.66
15,81802.59
9,62784.56
0,23160.36
3,36026.14
2,33713.2
4,41309.23
11,69071.94
11,66748.12
12,72101.35
11,69006.55
15,80874.74
12,71612.4
4,42163.04
3,33167.69
20,108469.74
14,84808.84
11,65264.55
18,101072.86
20,104569.26
18,98255.54
20,103510.05
10,67769.13
20,106218.28
5,42557.54
8,53504.39
0,20619.09
11,69563.83
13,78717.41
5,46952.9
0,24646.06
1,25529.01
10,62953.78
2,36457.05
9,59546.11
5,45430.25
5,41773.05
19,102009.75
20,103626.95
1,32140.14
9,63320.67
5,43512.88
16,88620.01
13,75346.65
4,36741.7
16,86427.67
1,29594.65
8,57975.78
11,69445.64
18,96094.8
6,51799.2
8,57190.63
20,107109.76
15,79678.67
19,89232.8
10,65851.36
11,64725.7
14,80362.64
17,92093.71
18,101762.2
15,86199.99
14,81497.58
4,43510.97
10,66105.49
14,79626.97
17,96214.43
12,69670.75
3,37969.74
16,84357.29
3,37611.83
15,85578.97
14,86029.36
13,72305.08
11,67197.34
2,35468.05
9,62005.95
7,53540.92
5,42131.59
13,75227.54
16,92735.12
20,104845.47
18,98126.08
15,84654.44
14,77450.74
14,83801.43
0,26509.7
11,75916.91
9,57953.26
13,79467.72
9,57065.37
9,61472.04
19,103929.52
10,58783.59
15,84385.2
8,55310.37
14,78894.13
13,78155.64
18,100362.06
8,56600.16
3,37616.46
20,105342.93
6,49005.41
7,49731.97
7,56325.33
18,97885.59
14,82184.64
15,82580.47
8,55622.34
11,68471.6
15,80397.63
3,31935.9
4,39197.76
7,54567.56
0,23040.59
5,41943.58
14,78555.94
